card_name,set_name,card_number,rarity,raw_price,psa10_chance,expected_profit,roi_pct
DARKRAI EX (FULL ART),XY - BREAKPOINT,118/122,ULTRA RARE,50.95,0.23,288.24,380
RAICHU BREAK,XY - BREAKTHROUGH,50/162,RARE BREAK,10.66,0.28,124.25,348
RAYQUAZA EX (75),XY - ROARING SKIES,75/108,ULTRA RARE,35.41,0.19,197.94,328
GIRATINA EX (93 FULL ART),XY - ANCIENT ORIGINS,93/98,ULTRA RARE,117.74,0.23,406.27,285
MEWTWO EX (157 FULL ART),XY - BREAKTHROUGH,157/162,ULTRA RARE,55.06,0.12,219.15,274
MEWTWO EX (158 FULL ART),XY - BREAKTHROUGH,158/162,ULTRA RARE,64.52,0.17,221.88,248
ESPEON EX (FULL ART),XY - BREAKPOINT,117/122,ULTRA RARE,72.44,0.21,236.37,243
AZ (117 FULL ART),XY - PHANTOM FORCES,117/119,ULTRA RARE,23.52,0.07,114.77,237
LUGIA EX (94 FULL ART),XY - ANCIENT ORIGINS,94/98,ULTRA RARE,204.38,0.16,537.98,235
LUGIA BREAK,XY - FATES COLLIDE,79/124,RARE BREAK,19.08,0.29,101.98,231
HOOPA EX,XY - ANCIENT ORIGINS,36/98,ULTRA RARE,4.76,0.49,67.51,227
KYUREM EX (86 FULL ART),XY - ANCIENT ORIGINS,86/98,ULTRA RARE,33.87,0.22,131.59,224
GENGAR,XY - BREAKTHROUGH,60/162,HOLO RARE,34.33,0.06,131.76,222
HOUNDOOM EX (FULL ART),XY - BREAKTHROUGH,153/162,ULTRA RARE,34.89,0.11,125.33,209
GYARADOS (21),XY - ANCIENT ORIGINS,21/98,HOLO RARE,56.31,0.07,168.74,208
HO-OH EX (FULL ART),XY - BREAKPOINT,121/122,ULTRA RARE,40.61,0.26,134.52,205
UMBREON EX (FULL ART),XY - FATES COLLIDE,119/124,ULTRA RARE,140.85,0.14,334.07,201
MANAPHY EX (FULL ART),XY - BREAKPOINT,116/122,ULTRA RARE,17.83,0.23,86.09,201
SCEPTILE EX (84 FULL ART),XY - ANCIENT ORIGINS,84/98,ULTRA RARE,54.35,0.22,159.27,201
ALAKAZAM EX (SECRET),XY - FATES COLLIDE,125/124,SECRET RARE,123.9,0.1,289.28,194
SCIZOR EX (FULL ART),XY - BREAKPOINT,119/122,ULTRA RARE,23.57,0.21,93.83,193
SURFING PIKACHU,XY - EVOLUTIONS,111/108,SECRET RARE,10.67,0.21,68.55,192
GENGAR EX (114 FULL ART),XY - PHANTOM FORCES,114/119,ULTRA RARE,720.05,0.07,1398.28,188
AMPHAROS EX (87 FULL ART),XY - ANCIENT ORIGINS,87/98,ULTRA RARE,33.36,0.18,106.21,182
ALAKAZAM EX (FULL ART),XY - FATES COLLIDE,117/124,ULTRA RARE,27.54,0.16,94.97,181
GRENINJA BREAK,XY - BREAKPOINT,41/122,RARE BREAK,18.43,0.22,76.83,177
M GYARADOS EX (FULL ART),XY - BREAKPOINT,115/122,ULTRA RARE,107.45,0.22,229.15,173
CHARIZARD EX - 125/197,SV03: OBSIDIAN FLAMES,125/197,DOUBLE RARE,6,0.51,51.95,168
MACHAMP EX (90 FULL ART),XY - ANCIENT ORIGINS,90/98,ULTRA RARE,25.98,0.2,84.79,166
CHARIZARD EX (100 FULL ART),XY - FLASHFIRE,100/106,ULTRA RARE,260.82,0.07,469.74,164
RAYQUAZA V (FULL ART),SWSH07: EVOLVING SKIES,193/203,ULTRA RARE,35.45,0.61,96.61,160
M SCEPTILE EX (85 FULL ART),XY - ANCIENT ORIGINS,85/98,ULTRA RARE,127.67,0.23,243.47,159
GENGAR EX,XY - PHANTOM FORCES,34/119,ULTRA RARE,72.89,0.43,155.92,159
GYARADOS EX (SECRET),XY - BREAKPOINT,123/122,SECRET RARE,166.02,0.17,301.87,158
M MEWTWO EX (159 FULL ART),XY - BREAKTHROUGH,159/162,ULTRA RARE,125.34,0.17,234.61,156
GENESECT EX (FULL ART),XY - FATES COLLIDE,120/124,ULTRA RARE,11.71,0.17,56.29,153
MEWTWO EX (FULL ART),XY - EVOLUTIONS,103/108,ULTRA RARE,39.8,0.27,97.01,150
MAUSHOLD EX - 233/182,SV04: PARADOX RIFT,233/182,ULTRA RARE,13.23,0.61,56.65,148
M RAYQUAZA EX (76),XY - ROARING SKIES,76/108,ULTRA RARE,72.39,0.11,142.51,146
M SCIZOR EX (FULL ART),XY - BREAKPOINT,120/122,ULTRA RARE,45.16,0.32,102.06,145
GYARADOS EX (FULL ART),XY - BREAKPOINT,114/122,ULTRA RARE,72.03,0.19,140.41,145
ANNIHILAPE EX - 242/193,SV02: PALDEA EVOLVED,242/193,ULTRA RARE,4.74,0.38,41.93,141
GARDEVOIR EX (SECRET),XY - STEAM SIEGE,116/114,SECRET RARE,87.97,0.21,159.24,141
VOLCANION EX (SECRET),XY - STEAM SIEGE,115/114,SECRET RARE,34.2,0.27,82.84,140
FLORGES EX (116 FULL ART),XY - PHANTOM FORCES,116/119,ULTRA RARE,19.73,0.1,62.14,139
HOOPA EX (89 FULL ART),XY - ANCIENT ORIGINS,89/98,ULTRA RARE,48.48,0.28,101.95,139
MEWTWO EX (61),XY - BREAKTHROUGH,61/162,ULTRA RARE,10.66,0.16,49.18,138
STEELIX EX (FULL ART),XY - STEAM SIEGE,108/114,ULTRA RARE,18.84,0.22,60.23,137
RAYQUAZA VMAX,SWSH07: EVOLVING SKIES,111/203,ULTRA RARE,12.97,0.64,51.75,136
GROUDON EX,XY - PRIMAL CLASH,85/160,ULTRA RARE,11.86,0.12,50.1,136
M HERACROSS EX,XY - FURIOUS FISTS,5/111,ULTRA RARE,17.83,0.1,57.67,135
ALTARIA EX (FULL ART),XY - FATES COLLIDE,123/124,ULTRA RARE,13.03,0.21,51.18,135
M GARDEVOIR EX (FULL ART),XY - STEAM SIEGE,112/114,ULTRA RARE,48.73,0.34,99.2,135
KINGDRA EX (FULL ART),XY - FATES COLLIDE,122/124,ULTRA RARE,17.1,0.16,56.15,133
M RAYQUAZA EX,CELEBRATIONS: CLASSIC COLLECTION,76/108,CLASSIC COLLECTION,41.36,0.7,88.4,133
M ALAKAZAM EX (FULL ART),XY - FATES COLLIDE,118/124,ULTRA RARE,79.69,0.21,138.3,132
POKEMON CENTER LADY (105 FULL ART),XY - FLASHFIRE,105/106,ULTRA RARE,58.5,0.07,108.61,130
GLACEON EX (FULL ART),XY - FATES COLLIDE,116/124,ULTRA RARE,30.58,0.18,71.72,129
M RAYQUAZA EX (61),XY - ROARING SKIES,61/108,ULTRA RARE,95.99,0.05,154.12,127
GENGAR,SWSH11: LOST ORIGIN TRAINER GALLERY,TG06/TG30,ULTRA RARE,55.86,0.28,100.67,125
M KANGASKHAN EX,XY - FLASHFIRE,79/106,ULTRA RARE,20.05,0.11,55.37,123
UMBREON STAR,CELEBRATIONS: CLASSIC COLLECTION,17/17,CLASSIC COLLECTION,89.03,0.56,138.67,122
M CHARIZARD EX (FULL ART),XY - EVOLUTIONS,101/108,ULTRA RARE,124.15,0.4,176.2,118
MEWTWO EX (62),XY - BREAKTHROUGH,62/162,ULTRA RARE,9.26,0.24,40.45,118
UMBREON EX,XY - FATES COLLIDE,55/124,ULTRA RARE,50.48,0.21,87.5,116
M RAYQUAZA EX (105 FULL ART),XY - ROARING SKIES,105/108,ULTRA RARE,334.67,0.03,416.93,116
M HERACROSS EX (SECRET),XY - FURIOUS FISTS,112/111,SECRET RARE,53.72,0.07,91.15,116
YVELTAL BREAK,XY - STEAM SIEGE,66/114,RARE BREAK,6.23,0.51,36.11,116
M AGGRON EX (154 FULL ART),XY - PRIMAL CLASH,154/160,ULTRA RARE,93.42,0.05,136.85,116
M LATIOS EX,XY - ROARING SKIES,59/108,ULTRA RARE,22.67,0.05,54.95,115
MEWTWO EX (164 SECRET FULL ART),XY - BREAKTHROUGH,164/162,SECRET RARE,163.1,0.08,216.7,115
M HOUNDOOM EX,XY - BREAKTHROUGH,22/162,ULTRA RARE,21.02,0.22,52.41,114
M ALTARIA EX (FULL ART),XY - FATES COLLIDE,121/124,ULTRA RARE,28.72,0.29,60.77,113
AGGRON EX (153 FULL ART),XY - PRIMAL CLASH,153/160,ULTRA RARE,35.72,0.05,68.27,112
MAGIKARP - 203/193,SV02: PALDEA EVOLVED,203/193,ILLUSTRATION RARE,387.29,0.17,454.63,110
M KANGASKHAN EX (109 SECRET RARE),XY - FLASHFIRE,109/106,SECRET RARE,52.3,0.06,85,110
M HOUNDOOM EX (FULL ART),XY - BREAKTHROUGH,154/162,ULTRA RARE,57.17,0.18,89.3,109
XEROSIC (119 FULL ART),XY - PHANTOM FORCES,119/119,ULTRA RARE,6.73,0.08,34.46,109
RAYQUAZA VMAX (101),SWSH: CROWN ZENITH,101/159,ULTRA RARE,9.23,0.71,37.02,108
PIKACHU V (FULL ART),SWSH09: BRILLIANT STARS,157/172,ULTRA RARE,30.53,0.53,59.62,107
SCEPTILE (OMEGA),XY - PRIMAL CLASH,9/160,HOLO RARE,12.28,0.09,39.79,107
RAYQUAZA VMAX (ALTERNATE ART SECRET),SWSH07: EVOLVING SKIES,218/203,SECRET RARE,838.18,0.69,911.61,106
M MEWTWO EX (160 FULL ART),XY - BREAKTHROUGH,160/162,ULTRA RARE,151.42,0.15,183.5,104
M MEWTWO EX (63),XY - BREAKTHROUGH,63/162,ULTRA RARE,33.07,0.15,60.02,103
M BLASTOISE EX (FULL ART),XY - EVOLUTIONS,102/108,ULTRA RARE,57.21,0.36,84.47,103
KYOGRE EX (148 FULL ART),XY - PRIMAL CLASH,148/160,ULTRA RARE,106.02,0.01,131.77,101
TYRANITAR EX (91 FULL ART),XY - ANCIENT ORIGINS,91/98,ULTRA RARE,106,0.2,130.53,100
PRIMAL KYOGRE EX (SHINY FULL ART),XY - ANCIENT ORIGINS,96/98,ULTRA RARE,280.34,0.11,300.56,98
GROUDON EX (150 FULL ART),XY - PRIMAL CLASH,150/160,ULTRA RARE,95.61,0.02,118.27,98
MEWTWO EX (163 SECRET FULL ART),XY - BREAKTHROUGH,163/162,SECRET RARE,156.1,0.08,175.1,97
RAYQUAZA,SWSH04: VIVID VOLTAGE,138/185,AMAZING RARE,28.43,0.55,51.42,96
JOLTEON EX,GENERATIONS,28/83,ULTRA RARE,24.9,0.16,47.89,96
TYRANITAR EX,XY - ANCIENT ORIGINS,42/98,ULTRA RARE,12.69,0.22,36.03,96
CHARMANDER,GENERATIONS: RADIANT COLLECTION,RC3/RC32,COMMON,20.18,0.07,43.09,95
ARTICUNO,GENERATIONS,25/83,HOLO RARE,37.12,0.07,58.39,94
GIRATINA EX,XY - ANCIENT ORIGINS,57/98,ULTRA RARE,22.06,0.28,44.13,94
RAYQUAZA EX (104 FULL ART),XY - ROARING SKIES,104/108,ULTRA RARE,148.26,0.02,161.18,93
RADIANT CHARIZARD,SWSH: CROWN ZENITH,020/159,RADIANT RARE,13.31,0.54,35.57,93
LATIOS EX (101 FULL ART),XY - ROARING SKIES,101/108,ULTRA RARE,64.85,0.04,82.94,92
M LATIOS EX (102 FULL ART),XY - ROARING SKIES,102/108,ULTRA RARE,104.24,0.03,118.91,92
VENUSAUR,CELEBRATIONS: CLASSIC COLLECTION,15/102,CLASSIC COLLECTION,12.13,0.61,34.16,92
HYDREIGON EX (103 FULL ART),XY - ROARING SKIES,103/108,ULTRA RARE,31.96,0.03,52.04,91
TEAM ROCKET'S HANDIWORK (FULL ART),XY - FATES COLLIDE,124/124,ULTRA RARE,24.29,0.18,44.74,91
M CHARIZARD EX (Y),XY - FLASHFIRE,13/106,ULTRA RARE,66.97,0.11,83.32,91
BLASTOISE,CELEBRATIONS: CLASSIC COLLECTION,2/102,CLASSIC COLLECTION,18.82,0.61,39.56,90
GYARADOS EX,XY - BREAKPOINT,26/122,ULTRA RARE,18.68,0.09,39.38,90
TOXICROAK EX (102 FULL ART),XY - FLASHFIRE,102/106,ULTRA RARE,20.97,0.05,41.19,90
M CHARIZARD EX (X),XY - FLASHFIRE,69/106,ULTRA RARE,276.14,0.21,268.83,89
GENGAR EX - 193/162,SV05: TEMPORAL FORCES,193/162,ULTRA RARE,66.04,0.44,80.61,89
M VENUSAUR EX (FULL ART),XY - EVOLUTIONS,100/108,ULTRA RARE,35.52,0.37,52.74,87
VAPOREON EX,GENERATIONS,24/83,ULTRA RARE,19.56,0.14,38.37,86
M TYRANITAR EX (92 FULL ART),XY - ANCIENT ORIGINS,92/98,ULTRA RARE,121.28,0.27,125.04,85
CHARIZARD EX,GENERATIONS,11/83,ULTRA RARE,22.05,0.1,40.07,85
PRIMAL GROUDON EX (SHINY FULL ART),XY - ANCIENT ORIGINS,97/98,ULTRA RARE,319.97,0.11,292.77,85
M CHARIZARD EX,GENERATIONS,12/83,ULTRA RARE,157.5,0.09,154.2,84
GENGAR VMAX,SWSH08: FUSION STRIKE,157/264,ULTRA RARE,47.92,0.59,60.44,83
CHARIZARD,SWSH11: LOST ORIGIN TRAINER GALLERY,TG03/TG30,ULTRA RARE,37.37,0.3,51.48,83
PRIMAL GROUDON EX (OMEGA),XY - PRIMAL CLASH,86/160,ULTRA RARE,41.21,0.07,54.61,82
MEW EX,CELEBRATIONS: CLASSIC COLLECTION,88/92,CLASSIC COLLECTION,20.34,0.61,37.39,82
PIKACHU VMAX,SWSH11: LOST ORIGIN TRAINER GALLERY,TG17/TG30,ULTRA RARE,100.65,0.64,102.86,82
LUGIA EX,XY - ANCIENT ORIGINS,68/98,ULTRA RARE,13.47,0.23,30.82,80
JOLTEON,SWSH09: BRILLIANT STARS TRAINER GALLERY,TG04/TG30,ULTRA RARE,17.93,0.27,34.36,80
SWAMPERT (ALPHA),XY - PRIMAL CLASH,36/160,HOLO RARE,27.22,0.06,41.65,80
M STEELIX EX (FULL ART),XY - STEAM SIEGE,109/114,ULTRA RARE,26.63,0.3,40.87,79
UMBREON VMAX,SWSH07: EVOLVING SKIES,095/203,ULTRA RARE,28.79,0.65,42.27,79
TATSUGIRI - 186/167,SV06: TWILIGHT MASQUERADE,186/167,ILLUSTRATION RARE,22.64,0.44,36.76,77
DARKRAI VSTAR,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG50/GG70,ULTRA RARE,106.12,0.6,100.78,77
PIKACHU V,SWSH11: LOST ORIGIN TRAINER GALLERY,TG16/TG30,ULTRA RARE,122.64,0.52,112.76,76
LUGIA VSTAR (SECRET) (211),SWSH12: SILVER TEMPEST,211/195,SECRET RARE,24.93,0.66,37.76,76
DEOXYS VSTAR,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG46/GG70,ULTRA RARE,50.22,0.55,56.74,75
M MEWTWO EX (64),XY - BREAKTHROUGH,64/162,ULTRA RARE,34.45,0.11,44.78,75
MAXIE'S HIDDEN BALL TRICK (158 FULL ART),XY - PRIMAL CLASH,158/160,ULTRA RARE,17.09,0.04,31.32,74
SHINING MAGIKARP,CELEBRATIONS: CLASSIC COLLECTION,66/64,CLASSIC COLLECTION,40.01,0.65,48.34,74
HISUIAN GROWLITHE - 181/167,SV06: TWILIGHT MASQUERADE,181/167,ILLUSTRATION RARE,29.12,0.46,40.08,74
ZAPDOS,GENERATIONS,29/83,HOLO RARE,37.11,0.05,45.98,74
CHANSEY - 187/167,SV06: TWILIGHT MASQUERADE,187/167,ILLUSTRATION RARE,53.18,0.46,57.57,74
LATIAS,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG20/GG70,ULTRA RARE,18.34,0.3,31.79,73
M AMPHAROS EX (88 FULL ART),XY - ANCIENT ORIGINS,88/98,ULTRA RARE,76.77,0.22,74.65,73
CHARIZARD VSTAR,SWSH: CROWN ZENITH,019/159,ULTRA RARE,12.43,0.6,27.16,73
SKYLA,XY - BREAKPOINT,122/122,ULTRA RARE,56.09,0.25,58.55,72
GRENINJA EX - 198/167,SV06: TWILIGHT MASQUERADE,198/167,ULTRA RARE,15.78,0.4,29.42,72
SALAMENCE VMAX (SECRET),SWSH03: DARKNESS ABLAZE,194/189,SECRET RARE,14.17,0.79,28.11,72
CHARIZARD EX - 223/197,SV03: OBSIDIAN FLAMES,223/197,SPECIAL ILLUSTRATION RARE,112.78,0.24,98.57,72
GARDEVOIR EX (FULL ART),XY - STEAM SIEGE,111/114,ULTRA RARE,20.16,0.28,32.27,71
MEW VMAX (SECRET),SWSH08: FUSION STRIKE,268/264,SECRET RARE,87.79,0.62,80.51,71
CHARIZARD,CELEBRATIONS: CLASSIC COLLECTION,4/102,CLASSIC COLLECTION,197.23,0.6,158.55,71
LUGIA V (ALTERNATE FULL ART),SWSH12: SILVER TEMPEST,186/195,ULTRA RARE,469,0.55,352.03,71
GASTLY - 177/162,SV05: TEMPORAL FORCES,177/162,ILLUSTRATION RARE,118.69,0.36,101.94,71
CHARIZARD V,SWSH09: BRILLIANT STARS,017/172,ULTRA RARE,6.93,0.43,22.41,70
PIKACHU EX - 219/191,SV08: SURGING SPARKS,219/191,ULTRA RARE,30.54,0.43,38.98,70
CHARIZARD EX - 215/197,SV03: OBSIDIAN FLAMES,215/197,ULTRA RARE,20.54,0.39,31.85,70
M GLALIE EX (FULL ART),XY - BREAKTHROUGH,156/162,ULTRA RARE,20.7,0.11,31.71,69
MAGEARNA EX (FULL ART),XY - STEAM SIEGE,110/114,ULTRA RARE,8.81,0.29,23.27,69
ZEKROM,CELEBRATIONS: CLASSIC COLLECTION,114/114,CLASSIC COLLECTION,21.55,0.66,32.02,69
RAYQUAZA VMAX,SWSH12: SILVER TEMPEST TRAINER GALLERY,TG20/TG30,ULTRA RARE,189.43,0.74,146.13,68
PIKACHU EX - 247/191,SV08: SURGING SPARKS,247/191,HYPER RARE,81.72,0.38,72.34,68
GENGAR,GENERATIONS,35/83,HOLO RARE,31.77,0.02,38.04,67
MALAMAR EX (115 FULL ART),XY - PHANTOM FORCES,115/119,ULTRA RARE,19.33,0.07,29.64,67
CLEFFA - 202/197,SV03: OBSIDIAN FLAMES,202/197,ILLUSTRATION RARE,47.63,0.23,48.29,66
CHARIZARD EX,XY - EVOLUTIONS,12/108,ULTRA RARE,17.75,0.32,28.24,66
GROUDON - 199/182,SV04: PARADOX RIFT,199/182,ILLUSTRATION RARE,122.99,0.35,97.67,66
VOLCANION EX (FULL ART),XY - STEAM SIEGE,107/114,ULTRA RARE,8.38,0.28,21.88,66
LUGIA V (FULL ART),SWSH12: SILVER TEMPEST,185/195,ULTRA RARE,15.82,0.53,26.47,65
RAICHU V (FULL ART),SWSH09: BRILLIANT STARS,158/172,ULTRA RARE,6.11,0.53,20.16,65
GLALIE EX (FULL ART),XY - BREAKTHROUGH,155/162,ULTRA RARE,14.49,0.21,25.58,65
MEW V (ALTERNATE FULL ART),SWSH08: FUSION STRIKE,251/264,ULTRA RARE,100.56,0.43,80.71,64
GIRATINA V (FULL ART),SWSH11: LOST ORIGIN,185/196,ULTRA RARE,16.27,0.53,26.44,64
EEVEE,SWSH09: BRILLIANT STARS TRAINER GALLERY,TG11/TG30,ULTRA RARE,22.24,0.22,30.09,64
MANAPHY,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG06/GG70,ULTRA RARE,5.98,0.36,19.44,63
MIMIKYU V,SWSH09: BRILLIANT STARS TRAINER GALLERY,TG16/TG30,ULTRA RARE,84.46,0.55,67.8,62
M TYRANITAR EX,XY - ANCIENT ORIGINS,43/98,ULTRA RARE,29.58,0.25,33.41,61
LEAFEON EX,GENERATIONS,10/83,ULTRA RARE,26.36,0.15,30.97,60
GLACEON EX,XY - FATES COLLIDE,20/124,ULTRA RARE,14.93,0.29,23.54,59
M ALAKAZAM EX,XY - FATES COLLIDE,26/124,ULTRA RARE,16.69,0.25,24.39,58
M AMPHAROS EX,XY - ANCIENT ORIGINS,28/98,ULTRA RARE,16.37,0.4,24.09,58
ETERNATUS VMAX,SWSH11: LOST ORIGIN TRAINER GALLERY,TG22/TG30,ULTRA RARE,10.5,0.7,20.56,58
PIKACHU (FULL ART),GENERATIONS: RADIANT COLLECTION,RC29/RC32,ULTRA RARE,119.75,0.05,82.95,57
RAYQUAZA VMAX (SECRET),SWSH07: EVOLVING SKIES,217/203,SECRET RARE,108.13,0.73,76.28,57
M GENGAR EX,XY - PHANTOM FORCES,35/119,ULTRA RARE,185.04,0.06,120.35,57
GYARADOS VMAX,SWSH07: EVOLVING SKIES,029/203,ULTRA RARE,8.53,0.61,18.74,56
FLAREON EX,GENERATIONS: RADIANT COLLECTION,RC6/RC32,ULTRA RARE,66.87,0.04,51.17,56
CHARIZARD VSTAR,SWSH09: BRILLIANT STARS,018/172,ULTRA RARE,11.58,0.52,20.33,56
ALTARIA EX - 253/182,SV04: PARADOX RIFT,253/182,SPECIAL ILLUSTRATION RARE,55.32,0.32,44.62,56
CHARIZARD EX - 228/197,SV03: OBSIDIAN FLAMES,228/197,HYPER RARE,44.82,0.28,37.59,54
SUICUNE V,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG38/GG70,ULTRA RARE,66.42,0.56,48.76,53
DRAMPA - 184/162,SV05: TEMPORAL FORCES,184/162,ILLUSTRATION RARE,33.43,0.36,31.13,53
ZERAORA VSTAR,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG43/GG70,ULTRA RARE,21.49,0.6,24.65,53
ESPEON VMAX (ALTERNATE ART SECRET),SWSH08: FUSION STRIKE,270/264,SECRET RARE,297.98,0.6,170.64,53
CHARIZARD V (FULL ART),SWSH09: BRILLIANT STARS,153/172,ULTRA RARE,41.98,0.53,35.2,53
PIKACHU,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG30/GG70,ULTRA RARE,51.1,0.34,39.66,52
MEWTWO EX,CELEBRATIONS: CLASSIC COLLECTION,54/99,CLASSIC COLLECTION,15.01,0.64,20.81,52
MEWTWO EX,XY - EVOLUTIONS,52/108,ULTRA RARE,8.54,0.41,17.38,52
UMBREON EX - 161/131,SV: PRISMATIC EVOLUTIONS,161/131,SPECIAL ILLUSTRATION RARE,1457.82,0.32,764.29,52
GALLADE EX (99 FULL ART),XY - ROARING SKIES,99/108,ULTRA RARE,17.74,0.05,21.89,51
RESHIRAM,CELEBRATIONS: CLASSIC COLLECTION,113/114,CLASSIC COLLECTION,17.58,0.63,21.78,51
GIRATINA V (ALTERNATE FULL ART),SWSH11: LOST ORIGIN,186/196,ULTRA RARE,803.03,0.41,419.61,51
