card_name,set_name,card_number,tcgplayer_set_name,notes
Charizard,Base Set,4,Base Set,Shadowless holo — classic chase card
Charizard,Base Set 2,4,Base Set 2,Non-shadowless reprint
Blastoise,Base Set,2,Base Set,
Venusaur,Base Set,15,Base Set,
Mewtwo,Base Set,10,Base Set,
Pikachu,Jungle,60,Jungle,
Charizard,Celebrations,4,Celebrations Classic Collection,Classic Collection reprint
Umbreon,Aquapolis,H29,Aquapolis,Holographic rare
Charizard,Flashfire,11,Flashfire,Full art
Rayquaza,Celestial Storm,109,Celestial Storm,Full art GX
Pikachu VMAX,Vivid Voltage,188,Vivid Voltage,Rainbow rare
Charizard VMAX,Darkness Ablaze,20,Darkness Ablaze,
Charizard VMAX,Darkness Ablaze,74,Darkness Ablaze,Secret rare
Mew VMAX,Fusion Strike,269,Fusion Strike,Rainbow rare
Umbreon VMAX,Evolving Skies,215,Evolving Skies,Alternate art
Rayquaza VMAX,Evolving Skies,218,Evolving Skies,Alternate art
Charizard,151,6,Pokemon 151,
Mewtwo ex,151,205,Pokemon 151,Special illustration rare
Arcanine ex,Obsidian Flames,200,Obsidian Flames,Special illustration rare
Charizard ex,Obsidian Flames,228,Obsidian Flames,Special illustration rare hyper rare
